Contig	habitat	group1	group2
SRR14298097	Wild animal	non.human	human-associated
SRR14298098	Wild animal	non.human	human-associated
SRR14857231	Wild animal	non.human	human-associated
SRR14857232	Wild animal	non.human	human-associated
SRR14857236	Wild animal	non.human	human-associated
SRR14857242	Wild animal	non.human	human-associated
SRR14857253	Wild animal	non.human	human-associated
SRR14860555	Wild animal	non.human	human-associated
SRR14860559	Wild animal	non.human	human-associated
SRR14860577	Wild animal	non.human	human-associated
SRR14860586	Wild animal	non.human	human-associated
SRR15291763	Wild animal	non.human	human-associated
SRR15291766	Wild animal	non.human	human-associated
SRR15315592	Wild animal	non.human	human-associated
SRR17049896	Wild animal	non.human	human-associated
SRR17049899	Wild animal	non.human	human-associated
SRR17049902	Wild animal	non.human	human-associated
SRR17218405	Wild animal	non.human	human-associated
SRR17218407	Wild animal	non.human	human-associated
SRR17218409	Wild animal	non.human	human-associated
SRR17218421	Wild animal	non.human	human-associated
SRR1747024	Wild animal	non.human	human-associated
SRR1747061	Wild animal	non.human	human-associated
SRR1747062	Wild animal	non.human	human-associated
SRR1747065	Wild animal	non.human	human-associated
SRR17704070	Wild animal	non.human	human-associated
SRR17704071	Wild animal	non.human	human-associated
SRR17931175	Wild animal	non.human	human-associated
SRR17965630	Wild animal	non.human	human-associated
SRR17965634	Wild animal	non.human	human-associated
SRR17965639	Wild animal	non.human	human-associated
SRR18314294	Wild animal	non.human	human-associated
SRR18314299	Wild animal	non.human	human-associated
SRR19135261	Wild animal	non.human	human-associated
SRR19135262	Wild animal	non.human	human-associated
SRR19135264	Wild animal	non.human	human-associated
SRR19903763	Wild animal	non.human	human-associated
SRR19903764	Wild animal	non.human	human-associated
SRR19903775	Wild animal	non.human	human-associated
SRR20971440	Wild animal	non.human	human-associated
SRR21155593	Wild animal	non.human	human-associated
SRR21155734	Wild animal	non.human	human-associated
SRR22318477	Wild animal	non.human	human-associated
SRR22318478	Wild animal	non.human	human-associated
SRR22318479	Wild animal	non.human	human-associated
SRR23311175	Wild animal	non.human	human-associated
SRR23311176	Wild animal	non.human	human-associated
SRR23636706	Wild animal	non.human	human-associated
SRR23636742	Wild animal	non.human	human-associated
SRR23636744	Wild animal	non.human	human-associated
SRR23826135	Wild animal	non.human	human-associated
SRR23826138	Wild animal	non.human	human-associated
SRR24145987	Wild animal	non.human	human-associated
SRR4435568	Wild animal	non.human	human-associated
SRR4435570	Wild animal	non.human	human-associated
SRR4435575	Wild animal	non.human	human-associated
SRR5190122	Wild animal	non.human	human-associated
SRR5190128	Wild animal	non.human	human-associated
SRR5420603	Wild animal	non.human	human-associated
SRR5786450	Wild animal	non.human	human-associated
SRR5786452	Wild animal	non.human	human-associated
SRR5786453	Wild animal	non.human	human-associated
SRR6129790	Wild animal	non.human	human-associated
SRR6232303	Wild animal	non.human	human-associated
SRR7080211	Wild animal	non.human	human-associated
SRR7080213	Wild animal	non.human	human-associated
SRR7080214	Wild animal	non.human	human-associated
SRR7597270	Wild animal	non.human	human-associated
SRR7597641	Wild animal	non.human	human-associated
SRR7614710	Wild animal	non.human	human-associated
SRR7614713	Wild animal	non.human	human-associated
SRR8814928	Wild animal	non.human	human-associated
SRR8815261	Wild animal	non.human	human-associated
SRR8986148	Wild animal	non.human	human-associated
SRR9184935	Wild animal	non.human	human-associated
SRR9184944	Wild animal	non.human	human-associated
SRR9943727	Wild animal	non.human	human-associated
SRR9943761	Wild animal	non.human	human-associated
SRR9943764	Wild animal	non.human	human-associated
SRR9943776	Wild animal	non.human	human-associated
SRR9943781	Wild animal	non.human	human-associated
SRR9943782	Wild animal	non.human	human-associated
ERR2587962	Food	human-associated	human-associated
ERR2587963	Food	human-associated	human-associated
ERR2587966	Food	human-associated	human-associated
ERR2587969	Food	human-associated	human-associated
ERR2587972	Food	human-associated	human-associated
ERR2587973	Food	human-associated	human-associated
ERR2982965	Food	human-associated	human-associated
ERR2982966	Food	human-associated	human-associated
ERR2982969	Food	human-associated	human-associated
ERR2982982	Food	human-associated	human-associated
ERR2982983	Food	human-associated	human-associated
ERR2982984	Food	human-associated	human-associated
ERR3310248	Food	human-associated	human-associated
ERR3310256	Food	human-associated	human-associated
ERR3310259	Food	human-associated	human-associated
ERR5737966	Food	human-associated	human-associated
ERR5738016	Food	human-associated	human-associated
ERR5740401	Food	human-associated	human-associated
ERR5740500	Food	human-associated	human-associated
ERR5740554	Food	human-associated	human-associated
SRR10212788	Food	human-associated	human-associated
SRR10212789	Food	human-associated	human-associated
SRR10212791	Food	human-associated	human-associated
SRR10212794	Food	human-associated	human-associated
SRR11605259	Food	human-associated	human-associated
SRR11605261	Food	human-associated	human-associated
SRR11605262	Food	human-associated	human-associated
SRR11605264	Food	human-associated	human-associated
SRR11605270	Food	human-associated	human-associated
SRR12063312	Food	human-associated	human-associated
SRR12063313	Food	human-associated	human-associated
SRR12063314	Food	human-associated	human-associated
SRR12063315	Food	human-associated	human-associated
SRR12063316	Food	human-associated	human-associated
SRR12063319	Food	human-associated	human-associated
SRR12171305	Food	human-associated	human-associated
SRR12441669	Food	human-associated	human-associated
SRR12441670	Food	human-associated	human-associated
SRR12441674	Food	human-associated	human-associated
SRR12441675	Food	human-associated	human-associated
SRR12441685	Food	human-associated	human-associated
SRR12441688	Food	human-associated	human-associated
SRR14373626	Food	human-associated	human-associated
SRR14373627	Food	human-associated	human-associated
SRR14373630	Food	human-associated	human-associated
SRR14385545	Food	human-associated	human-associated
SRR14526126	Food	human-associated	human-associated
SRR14526128	Food	human-associated	human-associated
SRR14526129	Food	human-associated	human-associated
SRR1514791	Food	human-associated	human-associated
SRR16638932	Food	human-associated	human-associated
SRR22865492	Food	human-associated	human-associated
SRR22865493	Food	human-associated	human-associated
SRR22865494	Food	human-associated	human-associated
SRR22865495	Food	human-associated	human-associated
SRR22865496	Food	human-associated	human-associated
SRR22865500	Food	human-associated	human-associated
SRR22865520	Food	human-associated	human-associated
SRR22865521	Food	human-associated	human-associated
SRR22947746	Food	human-associated	human-associated
SRR23559299	Food	human-associated	human-associated
SRR23881938	Food	human-associated	human-associated
SRR23881941	Food	human-associated	human-associated
SRR23881947	Food	human-associated	human-associated
SRR23881952	Food	human-associated	human-associated
SRR23984802	Food	human-associated	human-associated
SRR23984803	Food	human-associated	human-associated
SRR23984806	Food	human-associated	human-associated
SRR24093235	Food	human-associated	human-associated
SRR24093237	Food	human-associated	human-associated
SRR24093239	Food	human-associated	human-associated
SRR24093240	Food	human-associated	human-associated
SRR24093248	Food	human-associated	human-associated
SRR24093260	Food	human-associated	human-associated
SRR7234262	Food	human-associated	human-associated
SRR8451813	Food	human-associated	human-associated
SRR8451814	Food	human-associated	human-associated
SRR8451818	Food	human-associated	human-associated
SRR8451824	Food	human-associated	human-associated
SRR8451831	Food	human-associated	human-associated
SRR8451840	Food	human-associated	human-associated
SRR8931515	Food	human-associated	human-associated
SRR8931516	Food	human-associated	human-associated
SRR8931517	Food	human-associated	human-associated
SRR8931518	Food	human-associated	human-associated
SRR9701327	Food	human-associated	human-associated
SRR9701328	Food	human-associated	human-associated
ERR10878213	Seawater	non.human	non.human
ERR10878215	Seawater	non.human	non.human
ERR4660988	Seawater	non.human	non.human
ERR4660993	Seawater	non.human	non.human
ERR4660995	Seawater	non.human	non.human
ERR4674039	Seawater	non.human	non.human
ERR4674123	Seawater	non.human	non.human
ERR4674129	Seawater	non.human	non.human
ERR4674144	Seawater	non.human	non.human
ERR4674185	Seawater	non.human	non.human
ERR5037032	Seawater	non.human	non.human
ERR5037034	Seawater	non.human	non.human
ERR5654717	Seawater	non.human	non.human
ERR5654718	Seawater	non.human	non.human
ERR5654719	Seawater	non.human	non.human
ERR6496061	Seawater	non.human	non.human
SRR10109477	Seawater	non.human	non.human
SRR10589504	Seawater	non.human	non.human
SRR10694917	Seawater	non.human	non.human
SRR11826813	Seawater	non.human	non.human
SRR11923211	Seawater	non.human	non.human
SRR11923214	Seawater	non.human	non.human
SRR12022360	Seawater	non.human	non.human
SRR12022364	Seawater	non.human	non.human
SRR12042305	Seawater	non.human	non.human
SRR12561397	Seawater	non.human	non.human
SRR12561399	Seawater	non.human	non.human
SRR12889302	Seawater	non.human	non.human
SRR12889305	Seawater	non.human	non.human
SRR12936770	Seawater	non.human	non.human
SRR12937377	Seawater	non.human	non.human
SRR12937698	Seawater	non.human	non.human
SRR13153511	Seawater	non.human	non.human
SRR13153527	Seawater	non.human	non.human
SRR13153554	Seawater	non.human	non.human
SRR13153557	Seawater	non.human	non.human
SRR13262723	Seawater	non.human	non.human
SRR13262725	Seawater	non.human	non.human
SRR14596393	Seawater	non.human	non.human
SRR14596396	Seawater	non.human	non.human
SRR14596400	Seawater	non.human	non.human
SRR15530465	Seawater	non.human	non.human
SRR15530469	Seawater	non.human	non.human
SRR15530478	Seawater	non.human	non.human
SRR16686516	Seawater	non.human	non.human
SRR17118806	Seawater	non.human	non.human
SRR17118813	Seawater	non.human	non.human
SRR17118858	Seawater	non.human	non.human
SRR17686859	Seawater	non.human	non.human
SRR17686882	Seawater	non.human	non.human
SRR17776526	Seawater	non.human	non.human
SRR17776529	Seawater	non.human	non.human
SRR17776532	Seawater	non.human	non.human
SRR17776533	Seawater	non.human	non.human
SRR17776539	Seawater	non.human	non.human
SRR18278848	Seawater	non.human	non.human
SRR18489174	Seawater	non.human	non.human
SRR18489175	Seawater	non.human	non.human
SRR18682723	Seawater	non.human	non.human
SRR18682724	Seawater	non.human	non.human
SRR18682953	Seawater	non.human	non.human
SRR18682980	Seawater	non.human	non.human
SRR18683002	Seawater	non.human	non.human
SRR18720396	Seawater	non.human	non.human
SRR20019835	Seawater	non.human	non.human
SRR20019839	Seawater	non.human	non.human
SRR20019841	Seawater	non.human	non.human
SRR20241890	Seawater	non.human	non.human
SRR20241900	Seawater	non.human	non.human
SRR20241907	Seawater	non.human	non.human
SRR2103021	Seawater	non.human	non.human
SRR2103037	Seawater	non.human	non.human
SRR21425106	Seawater	non.human	non.human
SRR21425109	Seawater	non.human	non.human
SRR21474775	Seawater	non.human	non.human
SRR21474777	Seawater	non.human	non.human
SRR21474781	Seawater	non.human	non.human
SRR24739285	Seawater	non.human	non.human
SRR24739286	Seawater	non.human	non.human
SRR24739288	Seawater	non.human	non.human
SRR2837116	Seawater	non.human	non.human
SRR2837128	Seawater	non.human	non.human
SRR3960576	Seawater	non.human	non.human
SRR3960580	Seawater	non.human	non.human
SRR3960684	Seawater	non.human	non.human
SRR3961604	Seawater	non.human	non.human
SRR3962680	Seawater	non.human	non.human
SRR3962772	Seawater	non.human	non.human
SRR3962773	Seawater	non.human	non.human
SRR3963456	Seawater	non.human	non.human
SRR3963571	Seawater	non.human	non.human
SRR3963622	Seawater	non.human	non.human
SRR3965586	Seawater	non.human	non.human
SRR3965676	Seawater	non.human	non.human
SRR3965873	Seawater	non.human	non.human
SRR3965875	Seawater	non.human	non.human
SRR3967025	Seawater	non.human	non.human
SRR3967558	Seawater	non.human	non.human
SRR3967700	Seawater	non.human	non.human
SRR3968060	Seawater	non.human	non.human
SRR3968063	Seawater	non.human	non.human
SRR4188656	Seawater	non.human	non.human
SRR4188658	Seawater	non.human	non.human
SRR4831644	Seawater	non.human	non.human
SRR4831648	Seawater	non.human	non.human
SRR5788153	Seawater	non.human	non.human
SRR5788329	Seawater	non.human	non.human
SRR5839047	Seawater	non.human	non.human
SRR6269009	Seawater	non.human	non.human
SRR6269031	Seawater	non.human	non.human
SRR6387558	Seawater	non.human	non.human
SRR6387564	Seawater	non.human	non.human
SRR7058355	Seawater	non.human	non.human
SRR7058482	Seawater	non.human	non.human
SRR8062323	Seawater	non.human	non.human
SRR8062327	Seawater	non.human	non.human
